City_id,City_name,Country_name,Link
g53727,Southwest,Cameroon,https://www.tripadvisor.com/Tourism-g53727-Southwest_Pennsylvania-Tourism.html
g154909,Alberta,Canada,https://www.tripadvisor.com/Tourism-g154909-Alberta-Tourism.html
g154950,Manitoba,Canada,https://www.tripadvisor.com/Tourism-g154950-Manitoba-Tourism.html
g154978,Nunavut,Canada,https://www.tripadvisor.com/Tourism-g154978-Nunavut-Tourism.html
g154979,Ontario,Canada,https://www.tripadvisor.com/Tourism-g154979-Ontario-Tourism.html
g155025,Quebec,Canada,https://www.tripadvisor.com/Tourism-g155025-Quebec-Tourism.html
g155038,Saskatchewan,Canada,https://www.tripadvisor.com/Tourism-g155038-Saskatchewan-Tourism.html
g155045,Yukon,Canada,https://www.tripadvisor.com/Tourism-g155045-Yukon-Tourism.html
g293775,Praia,Cape Verde,https://www.tripadvisor.com/Tourism-g293775-Praia_Santiago-Tourism.html
g482851,Tarrafal,Cape Verde,https://www.tripadvisor.com/Tourism-g482851-Tarrafal_Santiago-Tourism.html
g293777,Bangui,Central African Republic,https://www.tripadvisor.com/Tourism-g293777-Bangui-Tourism.html
g3657413,Batha,Chad,https://www.tripadvisor.com/Tourism-g3657413-Batha_Region-Tourism.html
g3657422,Borkou,Chad,https://www.tripadvisor.com/Tourism-g3657422-Borkou_Region-Tourism.html
g3657427,Kanem,Chad,https://www.tripadvisor.com/Tourism-g3657427-Kanem_Region-Tourism.html
g3657433,Mandoul,Chad,https://www.tripadvisor.com/Tourism-g3657433-Mandoul_Region-Tourism.html
g17722133,Sila,Chad,https://www.tripadvisor.com/Tourism-g17722133-Sila_Warmia_Masuria_Province_Northern_Poland-Tourism.html
g3657401,Tandjile,Chad,https://www.tripadvisor.com/Tourism-g3657401-Tandjile_Region-Tourism.html
g3657440,Tibesti,Chad,https://www.tripadvisor.com/Tourism-g3657440-Tibesti_Region-Tourism.html
g303669,Coquimbo,Chile,https://www.tripadvisor.com/Tourism-g303669-Coquimbo_Coquimbo_Region-Tourism.html
g1941109,Maule,Chile,https://www.tripadvisor.com/Tourism-g1941109-Maule_Yvelines_Ile_de_France-Tourism.html
g2615201,Tarapaca,Chile,https://www.tripadvisor.com/Tourism-g2615201-Tarapaca_Region-Tourism.html
g294306,Valparaiso,Chile,https://www.tripadvisor.com/Tourism-g294306-Valparaiso_Valparaiso_Region-Tourism.html
g297402,Anhui,China,https://www.tripadvisor.com/Tourism-g297402-Anhui-Tourism.html
g294212,Beijing,China,https://www.tripadvisor.com/Tourism-g294212-Beijing-Tourism.html
g294213,Chongqing,China,https://www.tripadvisor.com/Tourism-g294213-Chongqing-Tourism.html
g297404,Fujian,China,https://www.tripadvisor.com/Tourism-g297404-Fujian-Tourism.html
g297408,Gansu,China,https://www.tripadvisor.com/Tourism-g297408-Gansu-Tourism.html
g297411,Guangdong,China,https://www.tripadvisor.com/Tourism-g297411-Guangdong-Tourism.html
g297421,Guizhou,China,https://www.tripadvisor.com/Tourism-g297421-Guizhou-Tourism.html
g297423,Hainan,China,https://www.tripadvisor.com/Tourism-g297423-Hainan-Tourism.html
g297429,Hebei,China,https://www.tripadvisor.com/Tourism-g297429-Hebei-Tourism.html
g297432,Heilongjiang,China,https://www.tripadvisor.com/Tourism-g297432-Heilongjiang-Tourism.html
g297434,Henan,China,https://www.tripadvisor.com/Tourism-g297434-Henan-Tourism.html
g297436,Hubei,China,https://www.tripadvisor.com/Tourism-g297436-Hubei-Tourism.html
g303738,Hunan,China,https://www.tripadvisor.com/Tourism-g303738-Hunan-Tourism.html
g297441,Jiangsu,China,https://www.tripadvisor.com/Tourism-g297441-Jiangsu-Tourism.html
g297445,Jiangxi,China,https://www.tripadvisor.com/Tourism-g297445-Jiangxi-Tourism.html
g494936,Jilin,China,https://www.tripadvisor.com/Tourism-g494936-Jilin_Jilin-Tourism.html
g297450,Liaoning,China,https://www.tripadvisor.com/Tourism-g297450-Liaoning-Tourism.html
g494939,Qinghai,China,https://www.tripadvisor.com/Tourism-g494939-Qinghai-Tourism.html
g297460,Shanxi,China,https://www.tripadvisor.com/Tourism-g297460-Shanxi-Tourism.html
g297455,Shandong,China,https://www.tripadvisor.com/Tourism-g297455-Shandong-Tourism.html
g308272,Shanghai,China,https://www.tripadvisor.com/Tourism-g308272-Shanghai-Tourism.html
g297460,Shanxi,China,https://www.tripadvisor.com/Tourism-g297460-Shanxi-Tourism.html
g297462,Sichuan,China,https://www.tripadvisor.com/Tourism-g297462-Sichuan-Tourism.html
g293910,Taiwan,China,https://www.tripadvisor.com/Tourism-g293910-Taiwan-Tourism.html
g311293,Tianjin,China,https://www.tripadvisor.com/Tourism-g311293-Tianjin-Tourism.html
g297467,Yunnan,China,https://www.tripadvisor.com/Tourism-g297467-Yunnan-Tourism.html
g297468,Zhejiang,China,https://www.tripadvisor.com/Tourism-g297468-Zhejiang-Tourism.html
g1220266,Arauca,Colombia,https://www.tripadvisor.com/Tourism-g1220266-Arauca_Arauca_Department-Tourism.html
g44148,Bolivar,Colombia,https://www.tripadvisor.com/Tourism-g44148-Bolivar_Missouri-Tourism.html
g4446040,Caldas,Colombia,https://www.tripadvisor.com/Tourism-g4446040-Caldas_Antioquia_Department-Tourism.html
g2437763,Caqueta,Colombia,https://www.tripadvisor.com/Tourism-g2437763-Caqueta_Department-Tourism.html
g2021548,Cauca,Colombia,https://www.tripadvisor.com/Tourism-g2021548-Valle_del_Cauca_Department-Tourism.html
g11779798,Cesar,Colombia,https://www.tripadvisor.com/Tourism-g11779798-Cesar_Aveiro_District_Northern_Portugal-Tourism.html
g312768,Cordoba,Colombia,https://www.tripadvisor.com/Tourism-g312768-Cordoba_Province_of_Cordoba_Central_Argentina-Tourism.html
g2437772,Guainia,Colombia,https://www.tripadvisor.com/Tourism-g2437772-Guainia_Department-Tourism.html
g2437773,Guaviare,Colombia,https://www.tripadvisor.com/Tourism-g2437773-Guaviare_Department-Tourism.html
g2044297,Magdalena,Colombia,https://www.tripadvisor.com/Tourism-g2044297-Magdalena_Province_of_Buenos_Aires_Central_Argentina-Tourism.html
g1057024,Meta,Colombia,https://www.tripadvisor.com/Tourism-g1057024-Meta_Province_of_Naples_Campania-Tourism.html
g2437781,Narino,Colombia,https://www.tripadvisor.com/Tourism-g2437781-Narino_Department-Tourism.html
g10618472,Risaralda,Colombia,https://www.tripadvisor.com/Tourism-g10618472-Risaralda_Caldas_Department-Tourism.html
g187484,Santander,Colombia,https://www.tripadvisor.com/Tourism-g187484-Santander_Cantabria-Tourism.html
g295432,Sucre,Colombia,https://www.tripadvisor.com/Tourism-g295432-Sucre_Chuquisaca_Department-Tourism.html
g2437793,Tolima,Colombia,https://www.tripadvisor.com/Tourism-g2437793-Tolima_Department-Tourism.html
g2437796,Vichada,Colombia,https://www.tripadvisor.com/Tourism-g2437796-Vichada_Department-Tourism.html
g480170,Anjouan,Comoros,https://www.tripadvisor.com/Tourism-g480170-Anjouan-Tourism.html
g294189,Brazzaville,Congo,https://www.tripadvisor.com/Tourism-g294189-Brazzaville-Tourism.html
g33522,Limon,Costa Rica,https://www.tripadvisor.com/Tourism-g33522-Limon_Colorado-Tourism.html
g309231,Cartago,Costa Rica,https://www.tripadvisor.com/Tourism-g309231-Cartago_Province_of_Cartago-Tourism.html
